Market,Metric,Money,Currency_id,Quantity,Unit_id,Date,Continent,Sub Continent,Country,Organization/author
Hotels,Average Daily Rate (ADR),417,United States Dollar,,,3/31/16,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),67,United States Dollar,,,3/31/16,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),454,United States Dollar,,,6/30/16,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),47,United States Dollar,,,6/30/16,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),748,United States Dollar,,,9/30/16,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),75,United States Dollar,,,9/30/16,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),287,United States Dollar,,,12/31/16,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),9,United States Dollar,,,12/31/16,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),994,United States Dollar,,,3/31/18,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),99,United States Dollar,,,3/31/18,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),699,United States Dollar,,,6/30/18,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),368,United States Dollar,,,6/30/18,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),53,United States Dollar,,,3/31/17,Europe,,,Hotels News Now 
Hotels,Revenue Per Available Room (RevPar),90,United States Dollar,,,3/31/17,Europe,,,Hotels News Now 
Hotels,Average Daily Rate (ADR),779,United States Dollar,,,6/30/17,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),960,United States Dollar,,,6/30/17,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),109,United States Dollar,,,9/30/17,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),831,United States Dollar,,,9/30/17,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),695,United States Dollar,,,12/31/17,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),23,United States Dollar,,,12/31/17,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),47,United States Dollar,,,3/31/15,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),24,United States Dollar,,,3/31/15,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),901,United States Dollar,,,6/30/15,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),65,United States Dollar,,,6/30/15,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),624,United States Dollar,,,9/30/15,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),26,United States Dollar,,,9/30/15,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),827,United States Dollar,,,12/31/15,Americas,Northern America,United States,Hotel news now Newswire
Hotels,Revenue Per Available Room (RevPar),18,United States Dollar,,,12/31/15,Americas,Northern America,United States,Hotel news now Newswire
Hotels,Average Daily Rate (ADR),639,United States Dollar,,,3/31/14,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),52,United States Dollar,,,3/31/14,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),759,United States Dollar,,,6/30/14,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),87,United States Dollar,,,6/30/14,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),452,United States Dollar,,,9/30/14,Americas,Northern America,United States,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),18,United States Dollar,,,9/30/14,Americas,Northern America,United States,Hotel News Now
Hotels,Average Daily Rate (ADR),351,United States Dollar,,,12/31/14,Americas,Northern America,United States,Hotel news now Newswire
Hotels,Revenue Per Available Room (RevPar),78,United States Dollar,,,12/31/14,Americas,Northern America,United States,Hotel news now Newswire
Hotels,Average Daily Rate (ADR),508,European euro,,,3/31/16,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),17,European euro,,,3/31/16,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),946,United States Dollar,,,6/30/16,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),78,United States Dollar,,,6/30/16,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),917,United States Dollar,,,9/30/16,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),731,United States Dollar,,,9/30/16,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),231,United States Dollar,,,12/31/16,Europe,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),23,United States Dollar,,,12/31/16,Europe,,,Hotel News Now
Hotels,Average Daily Rate (ADR),10,United States Dollar,,,3/31/18,Asia,,,Hotel Nows New
Hotels,Revenue Per Available Room (RevPar),79,United States Dollar,,,3/31/18,Asia,,,Hotel Nows New
Hotels,Average Daily Rate (ADR),545,United States Dollar,,,6/30/18,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),64,United States Dollar,,,6/30/18,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),92,United States Dollar,,,9/30/17,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),84,United States Dollar,,,3/31/17,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),31,United States Dollar,,,9/30/17,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),47,United States Dollar,,,3/31/17,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),226,United States Dollar,,,12/31/17,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),5,United States Dollar,,,12/31/17,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),29,United States Dollar,,,6/30/17,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),19,United States Dollar,,,6/30/17,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),31,United States Dollar,,,3/31/16,Asia,,,Hospitality Net
Hotels,Revenue Per Available Room (RevPar),62,United States Dollar,,,3/31/16,Asia,,,Hospitality Net
Hotels,Average Daily Rate (ADR),20,United States Dollar,,,6/30/16,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),68,United States Dollar,,,6/30/16,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),2,United States Dollar,,,9/30/16,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),15,United States Dollar,,,9/30/16,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),163,United States Dollar,,,12/31/16,Asia,,,Hotel News Now
Hotels,Revenue Per Available Room (RevPar),21,United States Dollar,,,12/31/16,Asia,,,Hotel News Now
Hotels,Average Daily Rate (ADR),218,United States Dollar,,,6/30/15,Asia,,,STR Global
Hotels,Revenue Per Available Room (RevPar),80,United States Dollar,,,6/30/15,Asia,,,STR Global
Hotels,Average Daily Rate (ADR),928,United States Dollar,,,9/30/15,Asia,,,STR Global
Hotels,Revenue Per Available Room (RevPar),42,United States Dollar,,,9/30/15,Asia,,,STR Global
Hotels,Average Daily Rate (ADR),418,United States Dollar,,,12/31/15,Asia,,,Tourism Cambodia
Hotels,Revenue Per Available Room (RevPar),71,United States Dollar,,,12/31/15,Asia,,,Tourism Cambodia
In-Cinema Advertising,Revenue,4081522340,Indian rupee,,,12/31/16,Asia,Southern Asia,India,FICCI and EY
In-Cinema Advertising,Revenue,7802913470,Indian rupee,,,12/31/17,Asia,Southern Asia,India,FICCI and EY
In-Cinema Advertising,Revenue,1816848690,Indian rupee,,,12/31/20,Asia,Southern Asia,India,FICCI and EY
Industrial Rubber,Market Size,8.40E+11,United States Dollar,,,12/31/26,,,,Persistence Market Research
Information Technology,Market Size,51103297250,United States Dollar,,,3/31/18,Asia,Southern Asia,India,IBEF
Information Technology,Spending,35491604550,United States Dollar,,,12/31/18,Asia,Southern Asia,India,IBEF
Information Technology,Market Size,8.83E+12,United States Dollar,,,12/31/18,Americas,Northern America,United States,Comptia
Information Technology,Exports,7.81E+11,United States Dollar,,,3/31/18,Asia,Southern Asia,India,India Brand Equity Foundation
Information Technology,Market Size,9.07E+12,United States Dollar,,,12/31/19,,,,Comptia
Information Technology,Market Size,3.04E+12,United States Dollar,,,12/31/19,Americas,Northern America,United States,Comptia
Information Technology,Spending,9.01E+12,United States Dollar,,,12/31/14,,,,IronPapar
Information Technology,Spending,8.59E+12,United States Dollar,,,12/31/15,,,,IronPapar
Information Technology,Domestic Revenue,30831047510,United States Dollar,,,3/31/17,Asia,Southern Asia,India,Research Gate
Information Technology,Domestic Revenue,48303388260,United States Dollar,,,3/31/15,Asia,Southern Asia,India,Research Gate
Information Technology,Domestic Revenue,61763839180,United States Dollar,,,3/31/14,Asia,Southern Asia,India,Research Gate
Information Technology,Export Revenue,8300882710,United States Dollar,,,3/31/17,Asia,Southern Asia,India,Research Gate
Information Technology,Export Revenue,23010193280,United States Dollar,,,3/31/15,Asia,Southern Asia,India,Research Gate
Information Technology,Export Revenue,76068513450,United States Dollar,,,3/31/14,Asia,Southern Asia,India,Research Gate
Information Technology,Export Revenue,6.69E+11,United States Dollar,,,12/31/16,Asia,Southern Asia,India,Statista
Information Technology,Spending,8.56E+12,United States Dollar,,,12/31/17,,,,Statista
Information Technology,Revenue,8.62E+11,United States Dollar,,,12/31/20,Asia,Southern Asia,India,Economics Times
Information Technology,Revenue,61353722370,United States Dollar,,,12/31/25,Asia,Southern Asia,India,Economics Times
Information Technology,Domestic Revenue,88018650260,United States Dollar,,,3/31/16,Asia,Southern Asia,India,SwissNexindia
Insulation,Market Size,58235851000,United States Dollar,,,12/31/24,Americas,Northern America,,Global Market Insights Research Pvt. Ltd.
Internet,Internet Subscribers,,,54515700,Subscribers,3/31/18,Asia,Southern Asia,India,Department of Telecommunication
Internet,Internet Subscribers,,,571025310,Subscribers,12/31/21,Asia,Southern Asia,India,IBEF
Internet,Internet Subscribers,,,644029127,Subscribers,12/31/17,Americas,Northern America,United States,Internet World Stats
Internet,Internet Subscribers,,,59999045,Subscribers,12/31/17,Americas,Northern America,Canada,Internet World Stats
Internet,Internet Subscribers,,,506021030,Subscribers,3/31/17,Asia,Southern Asia,India,Department of Telecommunication
Internet,Internet Subscribers,,,196166700,Subscribers,3/31/16,Asia,Southern Asia,India,Department of Telecommunication
Internet,Internet Subscribers,,,218564820,Subscribers,3/31/15,Asia,Southern Asia,India,Department of Telecommunication
Internet,Internet Subscribers,,,441783070,Subscribers,3/31/14,Asia,Southern Asia,India,IBEF
Internet Of Things,Market Size,794120750,United States Dollar,,,12/31/21,Americas,Northern America,United States,IoT Analytics
Internet Of Things,Market Size,948570830,United States Dollar,,,12/31/21,Asia,Eastern Asia,China,IoT Analytics
Internet Of Things,Market Size,305466270,United States Dollar,,,12/31/21,Asia,Eastern Asia,Japan,IoT Analytics
Internet Of Things,Market Size,905100570,United States Dollar,,,12/31/21,Europe,Western Europe,Germany,IoT Analytics
Internet Of Things,Market Size,359586960,United States Dollar,,,12/31/21,Asia,Eastern Asia,South Korea,IoT Analytics
Internet Of Things,Market Size,490061690,United States Dollar,,,12/31/21,Asia,,,IoT Analytics
Internet Of Things,Market Size,22874710,United States Dollar,,,12/31/15,Americas,Northern America,United States,IoT Analytics
Internet Of Things,Market Size,4.55E+11,United States Dollar,,,12/31/22,,,,Research and Markets
Internet Of Things,Market Size,7.07E+11,United States Dollar,,,12/31/16,,,,Statista
Internet Of Things,Market Size,7.98E+11,United States Dollar,,,12/31/19,,,,Statista
Internet Of Things,Market Size,3.67E+11,United States Dollar,,,12/31/20,,,,Statista
Internet Of Things,Market Size,2.13E+11,United States Dollar,,,12/31/15,,,,Research Nester Private Limited
Internet Of Things,Market Size,5.33E+11,United States Dollar,,,12/31/23,,,,Research Nester Private Limited
Internet Of Things,Market Size,7.08E+11,United States Dollar,,,12/31/17,,,,Research and Markets
Internet Of Things,Market Size,5.19E+11,United States Dollar,,,12/31/14,,,,Machina Research Limited
Internet Of Things,Market Size,7.37E+11,United States Dollar,,,12/31/24,,,,Machina Research Limited
Iron Ore,Production,,,259995920,Tons,3/31/18,Asia,Southern Asia,India,India Brand Equity Foundation
Iron Ore,Production,,,785182340,Tons,3/31/17,Asia,Southern Asia,India,India Brand Equity Foundation
Iron Ore,Exports,,,49663600,Tons,3/31/18,Asia,Southern Asia,India,Care Ratings
Iron Ore,Exports,,,5908920,Tons,3/31/14,Asia,Southern Asia,India,Care Ratings
Iron Ore,Exports,,,5148110,Tons,3/31/15,Asia,Southern Asia,India,Care Ratings
Iron Ore,Exports,,,7732690,Tons,3/31/16,Asia,Southern Asia,India,Care Ratings
Iron Ore,Exports,,,18152010,Tons,3/31/17,Asia,Southern Asia,India,Care Ratings
Iron Ore,Imports,,,979830,Tons,3/31/14,Asia,Southern Asia,India,Care Ratings
Iron Ore,Imports,,,76634520,Tons,3/31/15,Asia,Southern Asia,India,Care Ratings
Iron Ore,Imports,,,1145290,Tons,3/31/16,Asia,Southern Asia,India,Care Ratings
Iron Ore,Imports,,,1152230,Tons,3/31/17,Asia,Southern Asia,India,Care Ratings
Iron Ore,Imports,,,6882990,Tons,3/31/18,Asia,Southern Asia,India,Care Ratings
Iron Ore Pellets,Exports,,,80,Millions Tons,3/31/19,Asia,Southern Asia,India,Care Ratings
Iron Ore,Production,,,751272930,Tons,3/31/14,Asia,Southern Asia,India,India Brand Equity Foundation
Iron Ore,Production,,,38847170,Tons,3/31/15,Asia,Southern Asia,India,India Brand Equity Foundation
Iron Ore,Production,,,105079030,Tons,3/31/16,Asia,Southern Asia,India,India Brand Equity Foundation
IT & BPM,Market Size,5.55E+11,United States Dollar,,,12/31/25,Asia,Southern Asia,India,IBEF
IT & BPM,Revenue,3.74E+11,United States Dollar,,,3/31/15,Asia,Southern Asia,India,IBEF
IT & BPM,Revenue,1.31E+11,United States Dollar,,,3/31/16,Asia,Southern Asia,India,IBEF
IT & BPM,Market Size,4.58E+11,United States Dollar,,,3/31/17,Asia,Southern Asia,India,IBEF
IT & BPM,Market Size,3.24E+11,United States Dollar,,,3/31/18,Asia,Southern Asia,India,IBEF
IT & BPM,Revenue,7.77E+11,United States Dollar,,,3/31/18,Asia,Southern Asia,India,Financial Express
IT & BPM,Market Size,6.68E+11,United States Dollar,,,3/31/14,Asia,Southern Asia,India,IBEF
IT & BPM,Market Size,7.52E+11,United States Dollar,,,3/31/15,Asia,Southern Asia,India,IBEF
IT & BPM,Market Size,7.65E+11,United States Dollar,,,3/31/16,Asia,Southern Asia,India,IBEF
IT & BPM,Revenue,7.84E+11,United States Dollar,,,3/31/17,Asia,Southern Asia,India,IBEF
IT & ITES,Market Size,7.72E+11,United States Dollar,,,3/31/18,Asia,Southern Asia,India,India Brand Equity Foundation
IT & ITES,Market Size,8.32E+11,United States Dollar,,,3/31/14,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Market Size,5.01E+11,United States Dollar,,,3/31/15,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Market Size,8.43E+11,United States Dollar,,,3/31/16,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Market Size,4.71E+11,United States Dollar,,,3/31/17,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Export Revenue,47474439280,United States Dollar,,,3/31/14,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Export Revenue,91274015790,United States Dollar,,,3/31/15,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Export Revenue,5.14E+11,United States Dollar,,,3/31/16,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Export Revenue,8.51E+11,United States Dollar,,,3/31/17,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Export Revenue,7.30E+11,United States Dollar,,,3/31/18,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Domestic Revenue,40663748130,United States Dollar,,,3/31/14,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Domestic Revenue,85831961510,United States Dollar,,,3/31/15,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Domestic Revenue,2071323620,United States Dollar,,,3/31/16,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Domestic Revenue,93228057500,United States Dollar,,,3/31/17,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Domestic Revenue,51006631340,United States Dollar,,,3/31/18,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Direct Contribution),,,848030,Jobs,3/31/14,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Direct Contribution),,,892900,Jobs,3/31/15,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Direct Contribution),,,822620,Jobs,3/31/16,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Direct Contribution),,,991650,Jobs,3/31/17,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Total Contribution),,,3071030,Jobs,3/31/17,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Total Contribution),,,5201910,Jobs,3/31/16,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Total Contribution),,,5155850,Jobs,3/31/15,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT & ITES,Employment (Total Contribution),,,3641190,Jobs,3/31/14,Asia,Southern Asia,India,Institute of Company Secretaries of India
IT Services,Export Revenue,50218777060,United States Dollar,,,3/31/14,Asia,Southern Asia,India,IBEF
IT Services,Export Revenue,92169900830,United States Dollar,,,3/31/15,Asia,Southern Asia,India,IBEF
IT Services,Export Revenue,41644412610,United States Dollar,,,3/31/16,Asia,Southern Asia,India,IBEF
IT Services,Export Revenue,58477811040,United States Dollar,,,3/31/17,Asia,Southern Asia,India,IBEF
IT Services,Export Revenue,88599598880,United States Dollar,,,3/31/18,Asia,Southern Asia,India,IBEF
Sack Kraft Paper,Market Size,23652197090,United States Dollar,,,12/31/23,,,,Reuters
Liquid Silicone Rubber,Market Size,4797869080,United States Dollar,,,12/31/26,,,,PR Newswire
Lithium-ion Battery,Market Size,2086870170,United States Dollar,,,12/31/17,Americas,Northern America,United States,Utility Dive
Lithium-ion Battery,Market Size,21866995130,United States Dollar,,,12/31/23,Americas,Northern America,United States,Utility Dive
Lithium-ion Battery,Market Size,7596084750,United States Dollar,,,12/31/15,Americas,Northern America,United States,Global Market Insight
Live Events,Market Size,16053652450,Indian rupee,,,12/31/16,Asia,Southern Asia,India,FICCI and EY
Live Events,Market Size,83057975800,Indian rupee,,,12/31/17,Asia,Southern Asia,India,FICCI and EY
Live Events,Market Size,9.15E+11,Indian rupee,,,12/31/20,Asia,Southern Asia,India,FICCI and EY
Live Events,Government Spending,1103267740,Indian rupee,,,12/31/16,Asia,Southern Asia,India,FICCI and EY
Live Events,Government Spending,61447513420,Indian rupee,,,12/31/20,Asia,Southern Asia,India,FICCI and EY
Low-Density Polyethylene,Production,,,711685190,Pounds,4/30/16,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Production,,,149183820,Pounds,4/30/15,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Consumption,,,270096770,Pounds,4/30/16,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Consumption,,,42857940,Pounds,4/30/15,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Exports,,,577359620,Pounds,4/30/16,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Exports,,,245158860,Pounds,4/30/15,Americas,Northern America,United States,American Chemistry Council
Low-Density Polyethylene,Production,,,722640,Metric Tons,3/31/17,Asia,Southern Asia,India,"DEPARTMENT OF CHEMICALS & PETRO-CHEMICALS
"
Low-Density Polyethylene,Production,,,774500,Metric Tons,3/31/16,Asia,Southern Asia,India,"DEPARTMENT OF CHEMICALS & PETRO-CHEMICALS
"
Low-Density Polyethylene,Production,,,820490,Metric Tons,3/31/15,Asia,Southern Asia,India,"DEPARTMENT OF CHEMICALS & PETRO-CHEMICALS
"
Low-Density Polyethylene,Production,,,482120,Metric Tons,3/31/14,Asia,Southern Asia,India,Directorate General of Commercial Intelligence and Statistics
Low-Density Polyethylene,Consumption,,,282120,Metric Tons,3/31/14,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Consumption,,,959030,Metric Tons,3/31/15,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Consumption,,,566810,Metric Tons,3/31/16,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Consumption,,,570300,Metric Tons,3/31/17,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Exports,,,16419,Metric Tons,3/31/14,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Exports,,,99659,Metric Tons,3/31/15,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Exports,,,60077,Metric Tons,3/31/16,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Exports,,,31799,Metric Tons,3/31/17,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Imports,,,558861,Metric Tons,3/31/17,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Imports,,,827301,Metric Tons,3/31/16,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Imports,,,354241,Metric Tons,3/31/15,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Low-Density Polyethylene,Imports,,,353517,Metric Tons,3/31/14,Asia,Southern Asia,India,Department of Chemicals and Petrochemicals
Luxury Hotel,Market Size,4.64E+11,United States Dollar,,,12/31/25,,,,"Grand View Research, Inc."
Luxury Hotel,Market Size,31813583760,United States Dollar,,,12/31/17,,,," Grand View Research, Inc."
Luxury Hotel,Revenue,36875688210,United States Dollar,,,12/31/15,,,,Allied Market Research 
Luxury Hotel,Revenue,98324880400,United States Dollar,,,12/31/22,,,,Allied Market Research 
Marketing Automation,Revenue,71279874340,United States Dollar,,,12/31/23,,,,Statista
Marketing Automation,Revenue,69850812110,United States Dollar,,,12/31/17,,,,Statista
Marketing Automation,Market Size,9423421150,United States Dollar,,,12/31/17,Europe,,,mordor intelligence
Marketing Automation,Market Size,8827061250,United States Dollar,,,12/31/23,Europe,,,mordor intelligence
Marketing Automation,Market Size,4733788740,United States Dollar,,,12/31/16,,,,Digital Journal
Marketing Automation,Market Size,635854620,United States Dollar,,,12/31/23,,,,Digital Journal
Media and Entertainment,Market Size,84484107700,United States Dollar,,,3/31/23,Asia,Southern Asia,India,India Brand Equity Foundation
Media and Entertainment,Market Size,4205210760,United States Dollar,,,3/31/18,Asia,Southern Asia,India,India Brand Equity Foundation
Media and Entertainment,Market Size,8.07E+12,Indian rupee,,,12/31/16,Asia,Southern Asia,India,FICCI and EY
Media and Entertainment,Market Size,5.88E+12,Indian rupee,,,12/31/17,Asia,Southern Asia,India,FICCI and EY
Media and Entertainment,Market Size,4.87E+12,Indian rupee,,,12/31/20,Asia,Southern Asia,India,FICCI and EY
Mica,Market Size,985508290,United States Dollar,,,12/31/17,,,,Reuters
Mica,Market Size,539747250,United States Dollar,,,12/31/26,,,,Reuters
Mobile Application,Market Size,52784175370,United States Dollar,,,12/31/24,,,,Persistence Market Research
Mobile Application,Revenue,5.14E+11,United States Dollar,,,12/31/20,,,, Statistic
Mobile Operating Systems,Revenue,59903750030,United States Dollar,,,12/31/15,,,, Statistic
Mobile Operating Systems,Revenue,89371614430,United States Dollar,,,12/31/16,,,, Statistic
Mobile Application,Market Size,9.47E+11,United States Dollar,,,12/31/16,,,,Allied Market Research
Mobile Application,Market Size,5.68E+11,United States Dollar,,,12/31/23,,,,Allied Market Research
Mobile Application,Revenue,88620725170,United States Dollar,,,12/31/14,,,,NDOT
Mobile Application,Market Size,36675970180,United States Dollar,,,12/31/15,,,,Venturebeat
Mobile Application,Market Size,7.97E+11,United States Dollar,,,12/31/20,,,,Venturebeat
Mobile Cellular,Teledensity,,,334961,Subscribers,12/31/14,Asia,Southern Asia,India,CEIC
Mobile Cellular,Teledensity,,,49472,Subscribers,12/31/15,Asia,Southern Asia,India,CEIC
Mobile Cellular,Teledensity,,,717171,Subscribers,12/31/16,Asia,Southern Asia,India,CEIC
Mobile Cellular,Teledensity,,,36.11,Subscribers,12/31/17,Asia,Southern Asia,India,CEIC
Mobile Gamers,Market Size,,,20534590,People,12/31/15,Asia,Southern Asia,India,FICCI and EY
Mobile Gamers,Market Size,,,226654350,People,12/31/16,Asia,Southern Asia,India,FICCI and EY
Mobile Gamers,Market Size,,,552752480,People,12/31/17,Asia,Southern Asia,India,FICCI and EY
Mobile Gamers,Market Size,,,903576500,People,12/31/18,Asia,Southern Asia,India,FICCI and EY
Mobile Gamers,Market Size,,,437593940,People,12/31/19,Asia,Southern Asia,India,FICCI and EY
Mobile Gamers,Market Size,,,678216030,People,12/31/20,Asia,Southern Asia,India,FICCI and EY
Music,Market Size,88306614570,Indian rupee,,,12/31/16,Asia,Southern Asia,India,FICCI and EY
Music,Market Size,48678090870,Indian rupee,,,12/31/17,Asia,Southern Asia,India,FICCI and EY
Music,Market Size,71444299110,Indian rupee,,,12/31/20,Asia,Southern Asia,India,FICCI and EY
Natural Gas,Exports,,,6.87,Billion Cubic Feet Per Day,6/30/18,Americas,Northern America,United States,U.S.Energy Information Administration
Natural Gas,Production,,,81.1,Billion Cubic Feet Per Day,12/31/17,Americas,Northern America,United States,Forbes
Natural Gas,Exports,,,6.34,Billion Cubic Feet Per Day,12/31/17,Americas,Northern America,United States,U.S.Energy Information Administration
Natural Gas,Average Spot Price,,,4.9,USD/MMBtu,12/31/17,Americas,Northern America,United States,International Gas Union
Natural Gas,Import Price,,,5.4,USD/Thousand Cubic Feet,1/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,9.01,USD/Thousand Cubic Feet,2/28/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,6.45,USD/Thousand Cubic Feet,3/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,8.2,USD/Thousand Cubic Feet,4/30/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,8.73,USD/Thousand Cubic Feet,5/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,5.86,USD/Thousand Cubic Feet,6/30/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,5.15,USD/Thousand Cubic Feet,7/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,9.22,USD/Thousand Cubic Feet,8/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,4.09,USD/Thousand Cubic Feet,9/30/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Import Price,,,3.57,USD/Thousand Cubic Feet,10/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Export Price,,,6.97,USD/Thousand Cubic Feet,1/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Export Price,,,5.93,USD/Thousand Cubic Feet,2/28/18,Americas,Northern America,United States,U.S. Energy Information Administration
Natural Gas,Export Price,,,2.37,USD/Thousand Cubic Feet,3/31/18,Americas,Northern America,United States,U.S. Energy Information Administration
